anomesdia,geracao_gas_fossil,geracao_carvao_duro,carga_total_real,preco_dia_seguinte,preco_real,temperatura,velocidade_vento
2015-03-30,3901.5833333333335,2692.25,27527.0,42.135,55.495416666666664,289.06782109375,2.316666666666667
2015-03-31,3725.2083333333335,3300.3333333333335,27674.375,43.715,54.69291666666666,288.6994044270833,1.55
2015-04-01,4560.583333333333,5411.583333333333,26501.833333333332,45.151666666666664,43.954166666666666,287.6156677083334,1.9333333333333333
2015-04-02,4904.166666666667,4768.0,34125.666666666664,40.55583333333333,52.59,286.3600213541667,1.3166666666666667
2015-04-03,3916.5,2248.1666666666665,29606.041666666668,34.600833333333334,53.35458333333334,286.9545625,1.525
2015-04-04,3641.125,1658.75,22839.375,26.663333333333334,39.60625,286.50370937499997,1.875
2015-04-05,4827.125,3732.125,28189.869565217392,45.202083333333334,39.93958333333333,286.01424973958336,1.9166666666666667
2015-04-06,4775.791666666667,6737.25,29083.958333333332,56.4375,52.66125,285.77032890625003,2.808333333333333
2015-04-07,5036.333333333333,7056.833333333333,28691.791666666668,56.751666666666665,57.68125,285.21372083333335,3.558333333333333
2015-04-08,6480.916666666667,7572.5,30588.916666666668,61.00875,54.20375,285.2943151041666,3.6333333333333333
2015-04-09,4944.708333333333,6262.166666666667,28142.416666666668,54.391666666666666,63.22375,284.5250578125,2.1
2015-04-10,4095.4166666666665,2704.7916666666665,23365.416666666668,37.49583333333333,67.15541666666667,285.4842052083333,1.5916666666666666
2015-04-11,5487.833333333333,6863.125,28663.583333333332,51.468333333333334,60.280833333333334,285.30237395833336,1.9083333333333334
2015-04-12,8334.25,7131.083333333333,30303.416666666668,62.39541666666666,47.14375,286.64202161458337,2.433333333333333
2015-04-13,4163.291666666667,3328.125,27403.208333333332,47.127500000000005,59.165,287.9613549479167,2.1666666666666665
2015-04-14,3872.875,4382.208333333333,28052.458333333332,43.27583333333334,54.903749999999995,289.37920963541666,3.225
2015-04-15,4997.708333333333,4622.666666666667,28375.083333333332,50.09291666666666,61.545833333333334,287.98941744791665,2.6666666666666665
2015-04-16,4975.782608695652,4718.478260869565,27829.08695652174,50.60166666666667,61.945,287.09075078125,2.1666666666666665
2015-04-17,5547.625,4805.583333333333,27848.375,56.638749999999995,68.00666666666667,288.15006223958335,1.775
2015-04-18,4528.5,3646.25,24831.375,47.138749999999995,58.335,287.2612921875,2.075
2015-04-19,4497.25,3501.5416666666665,22959.833333333332,41.66291666666667,54.912083333333335,286.22495807291665,1.9916666666666667
2015-04-20,4840.666666666667,5244.25,27208.347826086956,54.32791666666667,66.17041666666667,287.10429166666665,1.7083333333333333
2015-04-21,4077.125,4653.833333333333,27766.666666666668,48.18333333333333,60.13583333333334,288.40479453125005,2.9833333333333334
2015-04-22,4992.625,5180.333333333333,27648.708333333332,51.09666666666667,63.325,288.37324765625,2.3833333333333333
2015-04-23,5333.826086956522,5756.304347826087,26942.217391304348,61.579166666666666,73.10833333333333,288.1678731770833,1.2416666666666667
2015-04-24,5766.666666666667,5676.708333333333,27347.5,55.58875,68.87166666666667,288.78232812500005,2.0416666666666665
2015-04-25,5124.083333333333,3092.3333333333335,24900.0,42.75208333333333,58.426249999999996,289.51072239583334,3.091666666666667
2015-04-26,4939.291666666667,2550.25,23272.125,31.791666666666668,50.107499999999995,288.1601369791667,3.683333333333333
2015-04-27,4359.208333333333,3711.625,27428.708333333332,44.03333333333333,57.093333333333334,286.7897473958334,3.441666666666667
2015-04-28,5565.166666666667,5403.291666666667,27640.708333333332,56.55083333333334,69.16416666666667,287.6918059895834,1.8916666666666666
2015-04-29,5440.583333333333,6136.583333333333,27771.708333333332,59.16416666666667,70.90124999999999,288.1284385416667,1.6083333333333334
2015-04-30,4555.875,6067.041666666667,27837.0,53.29416666666667,64.1725,289.80211484375,1.8916666666666666
2015-05-01,6325.583333333333,6174.291666666667,28569.25,57.66625,55.520833333333336,292.60173906250003,3.2583333333333333
2015-05-02,5090.125,4781.333333333333,33810.52173913043,41.41541666666667,54.7025,293.9059247395833,2.341666666666667
2015-05-03,4038.8333333333335,1523.5,29991.041666666668,27.565416666666668,56.4775,293.8777125,2.3
2015-05-04,3382.0,1311.5416666666667,22132.458333333332,23.441666666666666,56.25958333333333,293.39742916666665,3.875
2015-05-05,4647.958333333333,4521.583333333333,28321.0,46.67666666666666,59.711666666666666,291.32974453125,3.433333333333333
2015-05-06,4981.166666666667,6555.458333333333,29355.375,56.20041666666667,71.47125,289.3318283854167,1.5416666666666667
2015-05-07,4420.125,6855.583333333333,27205.875,50.7025,59.42166666666667,291.1660625,2.1333333333333333
2015-05-08,5416.833333333333,7298.583333333333,30795.666666666668,60.504999999999995,53.14375,291.817684375,2.925
2015-05-09,4059.7083333333335,5288.458333333333,24853.958333333332,50.501666666666665,62.92041666666667,292.28949609375,1.6916666666666667
2015-05-10,4139.625,3015.5416666666665,28244.416666666668,42.1575,54.998333333333335,293.8217265625,2.1416666666666666
2015-05-11,5233.208333333333,6531.083333333333,28482.416666666668,51.073750000000004,63.64083333333333,293.55913177083335,1.7416666666666667
2015-05-12,6311.5,7152.125,27369.625,58.437916666666666,63.43833333333334,294.2011421875,1.35
2015-05-13,4470.166666666667,4468.291666666667,29143.291666666668,49.43875,60.45,296.62080546875,2.191666666666667
2015-05-14,3882.2083333333335,3582.5416666666665,29685.375,42.855000000000004,54.25625,296.07995807291667,3.85
2015-05-15,3713.9583333333335,2469.9583333333335,27731.375,44.162083333333335,55.33958333333333,291.97944583333333,3.625
2015-05-16,3644.5416666666665,1421.2083333333333,24963.25,32.77583333333333,44.93333333333333,291.76753333333335,3.1
2015-05-17,4159.375,1138.75,23371.25,31.284583333333334,45.37791666666667,291.9600294270833,2.433333333333333
2015-05-18,5213.333333333333,3818.0,28167.041666666668,51.05083333333334,62.68416666666667,292.04543098958334,2.466666666666667
2015-05-19,3892.0,3307.875,28436.0,42.21541666666667,53.77208333333333,290.01619609375,3.091666666666667
2015-05-20,4062.9166666666665,3528.7083333333335,27789.416666666668,45.88291666666667,57.41416666666667,288.4323622395833,2.9166666666666665
2015-05-21,3856.2083333333335,2882.5416666666665,27685.791666666668,43.83291666666666,55.0625,288.51117447916664,2.55
2015-05-22,3893.7916666666665,2450.625,27762.125,43.657916666666665,55.498333333333335,288.58300807291664,2.45
2015-05-23,3490.5833333333335,1999.125,25010.208333333332,33.81416666666667,46.91375,289.61582526041667,2.2916666666666665
2015-05-24,3952.0,1849.7916666666667,22918.5,32.63291666666667,46.42958333333333,289.94717890625003,2.283333333333333
2015-05-25,4858.5,2986.6666666666665,27337.583333333332,48.82833333333333,60.32541666666667,291.3382096354167,2.3333333333333335
2015-05-26,4176.5,3350.9583333333335,28124.833333333332,47.23791666666667,58.46875,291.12593281249997,2.058333333333333
2015-05-27,4219.791666666667,3975.7916666666665,28400.0,49.065000000000005,60.16041666666667,291.56529140625,2.2
2015-05-28,4478.083333333333,4935.208333333333,28755.416666666668,52.613749999999996,63.29958333333333,292.42451197916665,2.25
2015-05-29,4558.791666666667,5298.25,28507.347826086956,54.98458333333333,65.52125,291.5985455729167,2.35
2015-05-30,4222.875,5139.125,25211.083333333332,50.6825,60.51625,291.93145416666664,1.8666666666666667
2015-05-31,4091.5,5018.291666666667,23437.166666666668,48.01,58.56541666666667,292.57004192708337,1.6666666666666667
2015-06-01,5037.375,6086.208333333333,25539.958333333332,52.02916666666667,66.40291666666667,294.70632109375003,2.35
2015-06-02,5983.916666666667,5312.333333333333,34078.0,46.07833333333333,66.56958333333334,296.4608872395833,1.9666666666666666
2015-06-03,5588.125,2829.875,29574.916666666668,48.204166666666666,66.48291666666667,296.85647109375,2.341666666666667
